Gss year for this respondent                       ,Welfare,Highways and bridges,Social security,Mass transportation,Parks and recreation,Assistance for childcare,Supporting scientific research        ,Developing alternative energy sources,Foreign aid,"Military, armaments, and defense",Improving the conditions of blacks,Respondent id number,Space exploration program,Improving & protecting environment,Improving & protecting nations health,Solving problems of big cities,Halting rising crime rate,Dealing with drug addiction,Improving nations education system,Ballot used for interview
2016,Not applicable,Too much,Too little,About right,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,981,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,982,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too much,Too little,983,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot b
2016,About right,Too little,Too little,About right,About right,Too little,Too little,Too little,Too much,Too little,Too little,984,Too little,About right,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Too little,Too little,Too little,Too little,Too little,About right,About right,About right,Too much,Too little,About right,985,Too little,Too little,Too little,About right,Too little,About right,Too little,Ballot a
2016,Not applicable,Too little,Too little,About right,Too little,Too little,About right,About right,Not applicable,Not applicable,Not applicable,986,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too much,Too little,Too little,About right,About right,Too little,About right,About right,Too much,Too much,About right,987,About right,Too little,Too little,About right,Too much,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,988,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,About right,Too little,About right,Too little,About right,Not applicable,Not applicable,Not applicable,989,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,990,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,About right,Too little,Too little,About right,About right,Not applicable,Not applicable,Not applicable,991,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too much,About right,About right,Too much,Too much,About right,Too little,Not applicable,Not applicable,Not applicable,992,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,993,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,Too little,Too little,About right,Too much,Too much,Too much,Too little,About right,994,Too much,About right,Too much,About right,Too little,Too little,Too little,Ballot a
2016,Too little,About right,About right,About right,Too little,Too little,Too little,Too little,Too much,About right,About right,995,Too much,Too little,Too little,About right,About right,Too little,About right,Ballot c
2016,About right,About right,About right,Too little,About right,About right,Too little,Too little,About right,Too much,Too little,996,About right,Too little,Too little,About right,About right,About right,Too little,Ballot b
2016,Not applicable,About right,Too little,Too little,Too little,Don't know,About right,Too little,Not applicable,Not applicable,Not applicable,997,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,Too little,Too little,Too little,Too little,About right,About right,Too much,Too little,About right,998,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,About right,About right,About right,About right,About right,Not applicable,Not applicable,Not applicable,1000,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1001,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,Too little,Too little,Too little,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,1002,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Not applicable,Too little,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,1003,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,About right,About right,About right,About right,About right,About right,About right,Too much,About right,About right,1004,About right,About right,Too little,About right,About right,About right,About right,Ballot a
2016,Too much,Too little,About right,About right,About right,About right,About right,About right,Too much,About right,Too little,1005,Too much,About right,About right,Too little,Too little,About right,About right,Ballot b
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,1006,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,About right,About right,About right,About right,About right,Too little,About right,Too much,About right,About right,1007,About right,About right,About right,Too little,Too little,Too little,Too little,Ballot c
2016,Not applicable,About right,Too little,About right,About right,Too little,About right,Too little,Not applicable,Not applicable,Not applicable,1008,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too little,Too little,Too little,Too much,About right,Too little,Too little,About right,Too much,Too much,About right,1009,Too little,Too little,Too much,Too much,About right,Too little,Too little,Ballot a
2016,About right,About right,About right,Too much,About right,Too little,Too little,Too little,About right,Too little,Too little,1010,About right,Too little,Too little,About right,Too little,Too little,Too little,Ballot b
2016,Not applicable,About right,Too little,About right,Too little,Too little,Don't know,About right,Not applicable,Not applicable,Not applicable,1011,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,About right,Too little,Too little,About right,Too little,About right,Too much,Too little,1012,Too little,Too little,Too little,About right,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too little,About right,Too little,Too little,About right,Not applicable,Not applicable,Not applicable,1013,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,About right,Too little,Don't know,Too little,Too little,Too little,Too little,Too much,About right,Too little,1014,Too much,Too little,About right,Too little,Too little,Too little,Too much,Ballot b
2016,About right,About right,Too little,About right,About right,Too little,About right,Too little,Too little,Too little,About right,1015,Too much,About right,Don't know,Too much,Too little,Too little,About right,Ballot c
2016,Not applicable,About right,Too little,Don't know,Too little,Too little,Too much,Too much,Not applicable,Not applicable,Not applicable,1016,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
