text,topic
"amend Sections 1758.97 and 2071.1 of the Insurance Code, to amend Sections 298.1, 599aa, 868.7, and 1203.098 of the Penal Code, to amend Section 4423.1 of the Public Resources Code, to amend Section 1611 of the Revenue and Taxation Code, and to amend Section 19639 of the Welfare and Institutions Code, relating to the maintenance of the codes.",Other
"An act to add and repeal Article 6.5 (commencing with Section 217) of Chapter 1 of Division 1 of the Streets and Highways Code, relating to transportation.",Labor and Employment
"An act to amend Section 69435 of the Education Code, relating to student financial aid.",Other
"An act to repeal and add Section 10026 of the Business and Professions Code, relating to real estate.",Housing and Property
"An act to amend Sections 12301.6 and 12305.86 of, and to add Section 15661 to, the Welfare and Institutions Code, relating to public social services, and declaring the urgency thereof, to take effect immediately.",Health
"An act to add and repeal Section 18005 of the Government Code, relating to state employment.",Labor and Employment
"An act to add Section 19851.5 to the Government Code, relating to public employment.",Labor and Employment
"An act to add Section 2316 to the Business and Professions Code, and to amend Section 128335 of the Health and Safety Code, relating to healing arts.",Health
"An act to amend Section 15820.917 of the Government Code, relating to county jails.",Crime
"An act to amend, repeal, and add Section 13001 of the Elections Code, relating to elections, and declaring the urgency thereof, to take effect immediately.",Campaign Finance and Election Issues
"An act to add Section 103628.6 to the Health and Safety Code, and to add Section 18309.8 to the Welfare and Institutions Code, relating to vital records.",Municipal and County Issues
"An act to amend Section 2807 of the Penal Code, relating to public contracts.",Business and Consumers
"An act to add Sections 12606.1, 13188.4, and 13197.6 to the Health and Safety Code, relating to fire protection.",State Agencies
"An act to amend Section 13552.2 of, and to add Section 13552.3 to, the Water Code, relating to water.",Environmental
An act relating to health facilities.,Health
"An act to add Chapter 9.1 (commencing with Section 8758) to Division 1 of Title 2 of the Government Code, and to add Section 7101.2 to the Revenue and Taxation Code, relating to the arts.",Commerce
"An act to add Chapter 1.7 (commencing with Section 6096) to Division 7 of the Government Code, relating to state promotions.",State Agencies
"An act to amend Section 17144.5 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Housing and Property
"An act to amend Section 6203 of the Revenue and Taxation Code, relating to taxation.",Commerce
"An act to amend Section 85225.25 of the Water Code, relating to the Delta Stewardship Council.",Other
"An act to add and repeal Chapter 7.1 (commencing with Section 1964) of Division 2.5 of the Streets and Highways Code, and to amend Sections 21251 and 21260 of the Vehicle Code, relating to neighborhood electric vehicles.",Transportation
"An act to amend Section 16418 of the Government Code, to amend Sections 218, 17207, and 24347.5 of, and to add Chapter 7 (commencing with Section 199) to Part 1 of Division 1 of, the Revenue and Taxation Code, relating to disaster relief, and making an appropriation therefor.",Public Services
"An act to amend Sections 14043, 14043.1, and 14043.26 of the Welfare and Institutions Code, relating to Medi-Cal.",Legal Issues
"An act to add Section 100160.2 to the Public Utilities Code, relating to transportation.",Transportation
"An act to add Section 5023.3 to the Penal Code, relating to prisoners.",Health
"An act to amend Section 366.3 of the Welfare and Institutions Code, relating to dependent children.",Family and Children Issues
"An act to amend Section 11346.2 of the Government Code, relating to administrative procedures.",Other
"An act to amend Section 12585.7 of the Water Code, relating to water.",Environmental
"An act to amend Section 41787 of the Public Resources Code, relating to solid waste.",Environmental
"An act to repeal Sections 3884.1 and 3884.2 of the Food and Agricultural Code, relating to the Orange County Fair, and declaring the urgency thereof, to take effect immediately.",Municipal and County Issues
"An act to amend Section 19616.51 of the Business and Professions Code, relating to horse racing.",Recreation
"An act to amend Section 1353.8 of the Civil Code, relating to common interest developments.",Housing and Property
"An act to amend Section 38562 of the Health and Safety Code, relating to greenhouse gases.",Environmental
"An act to add Section 11345.8 to the Business and Professions Code, relating to real estate appraisers.",Other
"An act to add Section 148 to the Water Code, relating to the State Water Resources Development System, and making an appropriation therefor.",Environmental
"An act to amend Section 3014 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Sections 34902, 36512, 57377, and 57379 of the Government Code, relating to local government.",Municipal and County Issues
"Sections 3.60, 3.90, 4.01, 4.12, 12.00, 12.32, 12.42, 17.00, 25.50, and 35.50 of, by adding Sections 3.55, 4.85, 8.55, 12.45, 12.50, 12.55, 13.10, 13.25, 13.50, 15.30, 17.50, 17.80, 18.00, 18.10, 18.20, 18.30, 18.40, 18.50, 24.60, and 25.25 to, and by repealing Section 24.65 of, that act, relating to the State Budget, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.","Budget, Spending, and Taxes"
"An act to amend Section 12305.84 of the Welfare and Institutions Code, relating to public social services.",Senior Issues
"An act to add Section 49414.6 to the Education Code, relating to pupil health.",Education
"An act to amend Section 1611.5 of the Unemployment Insurance Code, relating to employment.",Labor and Employment
"An act to add and repeal Section 21099 of the Public Resources Code, relating to the environment, and declaring the urgency thereof, to take effect immediately.",Environmental
"An act to amend Section 17152 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to amend Section 87482.5 of the Education Code, relating to community colleges.",Labor and Employment
"An act to add Chapter 9.4 (commencing with Section 7199.5) to Division 3 of the Business and Professions Code, relating to home inspections.",Housing and Property
"An act to amend Section 21628.2 of the Business and Professions Code, and to amend Sections 11106, 12001, 12021.3, 12071, 12072, 12073, 12076, 12077, 12077.5, 12078, and 12082 of the Penal Code, relating to firearms.",Guns
"An act to amend Sections 11014.5, 11364.5, 11364.7, and 11532 of the Health and Safety Code, relating to controlled substances.",Crime
"An act to add Section 6377 to the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Commerce
"An act to amend Sections 6254.21 and 6254.24 of the Government Code, relating to public officials.",State Agencies
"An act to amend Section 12940 of the Government Code, relating to employment.",Labor and Employment
An act relating to energy.,Energy
An act relating to state property.,State Agencies
"An act to add Chapter 6.7 (commencing with Section 8549) to Division 1 of Title 2 of the Government Code, relating to the Office of the California Inspector General.",State Agencies
"An act to amend Section 4600.5 of the Business and Professions Code, relating to massage therapy.",Health
"An act to amend Section 50784 of the Health and Safety Code, relating to mobilehomes.",Housing and Property
"An act to add Section 10123.865 to, and to add and repeal Section 10123.866 of, the Insurance Code, relating to health care coverage.",Reproductive Issues
"An act to add Section 1367.225 to the Health and Safety Code, and to add Section 10123.197 to the Insurance Code, relating to health care coverage.",Health
"An act to amend Sections 13601, 13602, and 13603 of, to amend the heading of Title 4.5 (commencing with Section 13600) of Part 4 of, and to repeal and add Section 13600 of, the Penal Code, relating to corrections.",Crime
"An act to add Section 1821 to, and to repeal Section 648.1 of, the Military and Veterans Code, and to amend Sections 19.8 and 532b of the Penal Code, relating to military decorations.",Military
"An act to add Section 185036.1 to the Public Utilities Code, relating to high-speed rail.",Transportation
"An act to amend Sections 8482.3 and 8483.55 of the Education Code, relating to after school programs.",Education
"An act to amend Section 9001 of the Elections Code, relating to initiatives.",Other
"An act to add Section 11346.31 to the Government Code, relating to regulations.",Commerce
"An act to add Section 17211 to the Business and Professions Code, relating to business.",Commerce
"An act to amend Sections 17041 and 17062 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.","Budget, Spending, and Taxes"
"An act to amend Section 1765.1 of the Insurance Code, relating to insurance.",Insurance
"An act to add and repeal Sections 3485.5 and 3486.5 of the Civil Code, relating to unlawful detainer.",Crime
"An act to add Section 38006 to the Education Code, and to add Section 10752.3 to the Revenue and Taxation Code, relating to schools.",Education
